Sortorder,Code,CodeLevel,Level1,Level2,Level3,Level4,Level5,Level6
3840,"4610",4,"G","46","461","4610",,
3850,"462",3,"G","46","462",,,
3860,"4620",4,"G","46","462","4620",,
3870,"463",3,"G","46","463",,,
3880,"4630",4,"G","46","463","4630",,
3890,"464",3,"G","46","464",,,
3900,"4641",4,"G","46","464","4641",,
3910,"4649",4,"G","46","464","4649",,
3920,"465",3,"G","46","465",,,
3930,"4651",4,"G","46","465","4651",,
3940,"4652",4,"G","46","465","4652",,
3950,"4653",4,"G","46","465","4653",,
3960,"4659",4,"G","46","465","4659",,
3970,"466",3,"G","46","466",,,
3980,"4661",4,"G","46","466","4661",,
3990,"4662",4,"G","46","466","4662",,
4000,"4663",4,"G","46","466","4663",,
4010,"4669",4,"G","46","466","4669",,
4020,"469",3,"G","46","469",,,
4030,"4690",4,"G","46","469","4690",,
4040,"47",2,"G","47",,,,
4050,"471",3,"G","47","471",,,
4060,"4711",4,"G","47","471","4711",,
4070,"4719",4,"G","47","471","4719",,
4080,"472",3,"G","47","472",,,
4090,"4721",4,"G","47","472","4721",,
4100,"4722",4,"G","47","472","4722",,
4110,"4723",4,"G","47","472","4723",,
4120,"473",3,"G","47","473",,,
4130,"4730",4,"G","47","473","4730",,
4140,"474",3,"G","47","474",,,
4150,"4741",4,"G","47","474","4741",,
4160,"4742",4,"G","47","474","4742",,
4170,"475",3,"G","47","475",,,
4180,"4751",4,"G","47","475","4751",,
4190,"4752",4,"G","47","475","4752",,
4200,"4753",4,"G","47","475","4753",,
4210,"4759",4,"G","47","475","4759",,
4220,"476",3,"G","47","476",,,
4230,"4761",4,"G","47","476","4761",,
4240,"4762",4,"G","47","476","4762",,
4250,"4763",4,"G","47","476","4763",,
4260,"4764",4,"G","47","476","4764",,
4270,"477",3,"G","47","477",,,
4280,"4771",4,"G","47","477","4771",,
4290,"4772",4,"G","47","477","4772",,
4300,"4773",4,"G","47","477","4773",,
4310,"4774",4,"G","47","477","4774",,
4320,"478",3,"G","47","478",,,
4330,"4781",4,"G","47","478","4781",,
4340,"4782",4,"G","47","478","4782",,
4350,"4789",4,"G","47","478","4789",,
4360,"479",3,"G","47","479",,,
4370,"4791",4,"G","47","479","4791",,
4380,"4799",4,"G","47","479","4799",,
4390,"H",1,"H",,,,,
4400,"49",2,"H","49",,,,
4410,"491",3,"H","49","491",,,
4420,"4911",4,"H","49","491","4911",,
4430,"4912",4,"H","49","491","4912",,
4440,"492",3,"H","49","492",,,
4450,"4921",4,"H","49","492","4921",,
4460,"4922",4,"H","49","492","4922",,
4470,"4923",4,"H","49","492","4923",,
4480,"493",3,"H","49","493",,,
4490,"4930",4,"H","49","493","4930",,
4500,"50",2,"H","50",,,,
4510,"501",3,"H","50","501",,,
4520,"5011",4,"H","50","501","5011",,
4530,"5012",4,"H","50","501","5012",,
4540,"502",3,"H","50","502",,,
4550,"5021",4,"H","50","502","5021",,
4560,"5022",4,"H","50","502","5022",,
4570,"51",2,"H","51",,,,
4580,"511",3,"H","51","511",,,
4590,"5110",4,"H","51","511","5110",,
4600,"512",3,"H","51","512",,,
4610,"5120",4,"H","51","512","5120",,
4620,"52",2,"H","52",,,,
4630,"521",3,"H","52","521",,,
4640,"5210",4,"H","52","521","5210",,
4650,"522",3,"H","52","522",,,
4660,"5221",4,"H","52","522","5221",,
4670,"5222",4,"H","52","522","5222",,
4680,"5223",4,"H","52","522","5223",,
4690,"5224",4,"H","52","522","5224",,
4700,"5229",4,"H","52","522","5229",,
4710,"53",2,"H","53",,,,
4720,"531",3,"H","53","531",,,
4730,"5310",4,"H","53","531","5310",,
4740,"532",3,"H","53","532",,,
4750,"5320",4,"H","53","532","5320",,
4760,"I",1,"I",,,,,
4770,"55",2,"I","55",,,,
4780,"551",3,"I","55","551",,,
4790,"5510",4,"I","55","551","5510",,
4800,"552",3,"I","55","552",,,
4810,"5520",4,"I","55","552","5520",,
4820,"559",3,"I","55","559",,,
4830,"5590",4,"I","55","559","5590",,
4840,"56",2,"I","56",,,,
4850,"561",3,"I","56","561",,,
4860,"5610",4,"I","56","561","5610",,
4870,"562",3,"I","56","562",,,
4880,"5621",4,"I","56","562","5621",,
4890,"5629",4,"I","56","562","5629",,
4930,"563",3,"I","56","563",,,
4940,"5630",4,"I","56","563","5630",,
4950,"J",1,"J",,,,,
4960,"58",2,"J","58",,,,
4970,"581",3,"J","58","581",,,
4980,"5811",4,"J","58","581","5811",,
4990,"5812",4,"J","58","581","5812",,
5000,"5813",4,"J","58","581","5813",,
5010,"5819",4,"J","58","581","5819",,
5020,"582",3,"J","58","582",,,
5030,"5820",4,"J","58","582","5820",,
5040,"59",2,"J","59",,,,
5050,"591",3,"J","59","591",,,
5060,"5911",4,"J","59","591","5911",,
5070,"5912",4,"J","59","591","5912",,
5080,"5913",4,"J","59","591","5913",,
5090,"5914",4,"J","59","591","5914",,
5100,"592",3,"J","59","592",,,
5110,"5920",4,"J","59","592","5920",,
5120,"60",2,"J","60",,,,
5130,"601",3,"J","60","601",,,
5140,"6010",4,"J","60","601","6010",,
5150,"602",3,"J","60","602",,,
5160,"6020",4,"J","60","602","6020",,
5180,"61",2,"J","61",,,,
5190,"611",3,"J","61","611",,,
5200,"6110",4,"J","61","611","6110",,
5210,"612",3,"J","61","612",,,
5220,"6120",4,"J","61","612","6120",,
5230,"613",3,"J","61","613",,,
5240,"6130",4,"J","61","613","6130",,
5250,"619",3,"J","61","619",,,
5260,"6190",4,"J","61","619","6190",,
5270,"62",2,"J","62",,,,
5280,"620",3,"J","62","620",,,
5290,"6201",4,"J","62","620","6201",,
5300,"6202",4,"J","62","620","6202",,
5310,"6209",4,"J","62","620","6209",,
5320,"63",2,"J","63",,,,
5330,"631",3,"J","63","631",,,
5340,"6311",4,"J","63","631","6311",,
5350,"6312",4,"J","63","631","6312",,
5360,"639",3,"J","63","639",,,
5370,"6391",4,"J","63","639","6391",,
5380,"6399",4,"J","63","639","6399",,
5390,"K",1,"K",,,,,
5400,"64",2,"K","64",,,,
5410,"641",3,"K","64","641",,,
5420,"6411",4,"K","64","641","6411",,
5430,"6419",4,"K","64","641","6419",,
5440,"642",3,"K","64","642",,,
5450,"6420",4,"K","64","642","6420",,
5460,"643",3,"K","64","643",,,
5470,"6430",4,"K","64","643","6430",,
5480,"649",3,"K","64","649",,,
5490,"6491",4,"K","64","649","6491",,
5500,"6492",4,"K","64","649","6492",,
5510,"6499",4,"K","64","649","6499",,
5520,"65",2,"K","65",,,,
5530,"651",3,"K","65","651",,,
5540,"6511",4,"K","65","651","6511",,
5550,"6512",4,"K","65","651","6512",,
5560,"652",3,"K","65","652",,,
5570,"6520",4,"K","65","652","6520",,
5580,"653",3,"K","65","653",,,
5590,"6530",4,"K","65","653","6530",,
5600,"66",2,"K","66",,,,
5610,"661",3,"K","66","661",,,
5620,"6611",4,"K","66","661","6611",,
5630,"6612",4,"K","66","661","6612",,
5640,"6619",4,"K","66","661","6619",,
5650,"662",3,"K","66","662",,,
5660,"6621",4,"K","66","662","6621",,
5670,"6622",4,"K","66","662","6622",,
5680,"6629",4,"K","66","662","6629",,
5690,"663",3,"K","66","663",,,
5700,"6630",4,"K","66","663","6630",,
5710,"L",1,"L",,,,,
5720,"68",2,"L","68",,,,
5730,"681",3,"L","68","681",,,
5740,"6810",4,"L","68","681","6810",,
5750,"682",3,"L","68","682",,,
5760,"6820",4,"L","68","682","6820",,
5770,"M",1,"M",,,,,
5780,"69",2,"M","69",,,,
5790,"691",3,"M","69","691",,,
5800,"6910",4,"M","69","691","6910",,
5810,"692",3,"M","69","692",,,
5820,"6920",4,"M","69","692","6920",,
5830,"70",2,"M","70",,,,
5840,"701",3,"M","70","701",,,
5850,"7010",4,"M","70","701","7010",,
5860,"702",3,"M","70","702",,,
5870,"7020",4,"M","70","702","7020",,
5880,"71",2,"M","71",,,,
5890,"711",3,"M","71","711",,,
5900,"7110",4,"M","71","711","7110",,
5910,"712",3,"M","71","712",,,
5920,"7120",4,"M","71","712","7120",,
5930,"72",2,"M","72",,,,
5940,"721",3,"M","72","721",,,
5960,"7210",4,"M","72","721","7210",,
5970,"722",3,"M","72","722",,,
5980,"7220",4,"M","72","722","7220",,
5990,"73",2,"M","73",,,,
6000,"731",3,"M","73","731",,,
6010,"7310",4,"M","73","731","7310",,
6020,"732",3,"M","73","732",,,
6030,"7320",4,"M","73","732","7320",,
6040,"74",2,"M","74",,,,
6050,"741",3,"M","74","741",,,
6060,"7410",4,"M","74","741","7410",,
6070,"742",3,"M","74","742",,,
6080,"7420",4,"M","74","742","7420",,
6090,"749",3,"M","74","749",,,
6100,"7490",4,"M","74","749","7490",,
6110,"75",2,"M","75",,,,
6120,"750",3,"M","75","750",,,
6130,"7500",4,"M","75","750","7500",,
6140,"N",1,"N",,,,,
6150,"77",2,"N","77",,,,
6160,"771",3,"N","77","771",,,
6170,"7710",4,"N","77","771","7710",,
6180,"772",3,"N","77","772",,,
6190,"7721",4,"N","77","772","7721",,
6200,"7722",4,"N","77","772","7722",,
6210,"7729",4,"N","77","772","7729",,
6220,"773",3,"N","77","773",,,
6230,"7730",4,"N","77","773","7730",,
6240,"774",3,"N","77","774",,,
6250,"7740",4,"N","77","774","7740",,
6260,"78",2,"N","78",,,,
6270,"781",3,"N","78","781",,,
6280,"7810",4,"N","78","781","7810",,
6290,"782",3,"N","78","782",,,
6300,"7820",4,"N","78","782","7820",,
6310,"783",3,"N","78","783",,,
6320,"7830",4,"N","78","783","7830",,
6330,"79",2,"N","79",,,,
6340,"791",3,"N","79","791",,,
6350,"7911",4,"N","79","791","7911",,
6360,"7912",4,"N","79","791","7912",,
6370,"799",3,"N","79","799",,,
6380,"7990",4,"N","79","799","7990",,
6390,"80",2,"N","80",,,,
6400,"801",3,"N","80","801",,,
6410,"8010",4,"N","80","801","8010",,
6420,"802",3,"N","80","802",,,
6430,"8020",4,"N","80","802","8020",,
6440,"803",3,"N","80","803",,,
6450,"8030",4,"N","80","803","8030",,
6460,"81",2,"N","81",,,,
6470,"811",3,"N","81","811",,,
6480,"8110",4,"N","81","811","8110",,
6490,"812",3,"N","81","812",,,
6500,"8121",4,"N","81","812","8121",,
6510,"8129",4,"N","81","812","8129",,
6520,"813",3,"N","81","813",,,
6530,"8130",4,"N","81","813","8130",,
6540,"82",2,"N","82",,,,
6550,"821",3,"N","82","821",,,
6560,"8211",4,"N","82","821","8211",,
6570,"8219",4,"N","82","821","8219",,
6580,"822",3,"N","82","822",,,
6590,"8220",4,"N","82","822","8220",,
6600,"823",3,"N","82","823",,,
6610,"8230",4,"N","82","823","8230",,
6620,"829",3,"N","82","829",,,
6630,"8291",4,"N","82","829","8291",,
6640,"8292",4,"N","82","829","8292",,
6650,"8299",4,"N","82","829","8299",,
6660,"O",1,"O",,,,,
6670,"84",2,"O","84",,,,
6680,"841",3,"O","84","841",,,
6690,"8411",4,"O","84","841","8411",,
6700,"8412",4,"O","84","841","8412",,
6710,"8413",4,"O","84","841","8413",,
6730,"842",3,"O","84","842",,,
6740,"8421",4,"O","84","842","8421",,
6750,"8422",4,"O","84","842","8422",,
6760,"8423",4,"O","84","842","8423",,
6770,"843",3,"O","84","843",,,
6780,"8430",4,"O","84","843","8430",,
6790,"P",1,"P",,,,,
6800,"85",2,"P","85",,,,
6810,"851",3,"P","85","851",,,
6820,"8510",4,"P","85","851","8510",,
6830,"852",3,"P","85","852",,,
6840,"8521",4,"P","85","852","8521",,
6850,"8522",4,"P","85","852","8522",,
6860,"853",3,"P","85","853",,,
6870,"8530",4,"P","85","853","8530",,
6880,"854",3,"P","85","854",,,
6890,"8541",4,"P","85","854","8541",,
6900,"8542",4,"P","85","854","8542",,
6910,"8549",4,"P","85","854","8549",,
6920,"855",3,"P","85","855",,,
6930,"8550",4,"P","85","855","8550",,
6940,"Q",1,"Q",,,,,
6950,"86",2,"Q","86",,,,
6960,"861",3,"Q","86","861",,,
6970,"8610",4,"Q","86","861","8610",,
6980,"862",3,"Q","86","862",,,
6990,"8620",4,"Q","86","862","8620",,
7000,"869",3,"Q","86","869",,,
7010,"8690",4,"Q","86","869","8690",,
7020,"87",2,"Q","87",,,,
7030,"871",3,"Q","87","871",,,
7040,"8710",4,"Q","87","871","8710",,
7050,"872",3,"Q","87","872",,,
7060,"8720",4,"Q","87","872","8720",,
7070,"873",3,"Q","87","873",,,
7080,"8730",4,"Q","87","873","8730",,
7090,"879",3,"Q","87","879",,,
7100,"8790",4,"Q","87","879","8790",,
7110,"88",2,"Q","88",,,,
7120,"881",3,"Q","88","881",,,
7130,"8810",4,"Q","88","881","8810",,
7140,"889",3,"Q","88","889",,,
7150,"8890",4,"Q","88","889","8890",,
7160,"R",1,"R",,,,,
7170,"90",2,"R","90",,,,
7180,"900",3,"R","90","900",,,
7190,"9000",4,"R","90","900","9000",,
7200,"91",2,"R","91",,,,
7210,"910",3,"R","91","910",,,
7215,"9101",4,"R","91","910","9101",,
7220,"9102",4,"R","91","910","9102",,
7230,"9103",4,"R","91","910","9103",,
7240,"92",2,"R","92",,,,
7250,"920",3,"R","92","920",,,
7260,"9200",4,"R","92","920","9200",,
7270,"93",2,"R","93",,,,
7280,"931",3,"R","93","931",,,
7290,"9311",4,"R","93","931","9311",,
7300,"9312",4,"R","93","931","9312",,
7310,"9319",4,"R","93","931","9319",,
7320,"932",3,"R","93","932",,,
7330,"9321",4,"R","93","932","9321",,
7340,"9329",4,"R","93","932","9329",,
7350,"S",1,"S",,,,,
7360,"94",2,"S","94",,,,
7370,"941",3,"S","94","941",,,
7380,"9411",4,"S","94","941","9411",,
7390,"9412",4,"S","94","941","9412",,
7400,"942",3,"S","94","942",,,
7410,"9420",4,"S","94","942","9420",,
7420,"949",3,"S","94","949",,,
7430,"9491",4,"S","94","949","9491",,
7440,"9492",4,"S","94","949","9492",,
7450,"9499",4,"S","94","949","9499",,
7460,"95",2,"S","95",,,,
7470,"951",3,"S","95","951",,,
7480,"9511",4,"S","95","951","9511",,
7490,"9512",4,"S","95","951","9512",,
7500,"952",3,"S","95","952",,,
7510,"9521",4,"S","95","952","9521",,
7520,"9522",4,"S","95","952","9522",,
7530,"9523",4,"S","95","952","9523",,
7540,"9524",4,"S","95","952","9524",,
7550,"9529",4,"S","95","952","9529",,
7560,"96",2,"S","96",,,,
7570,"960",3,"S","96","960",,,
7580,"9601",4,"S","96","960","9601",,
7590,"9602",4,"S","96","960","9602",,
7600,"9603",4,"S","96","960","9603",,
7610,"9609",4,"S","96","960","9609",,
7620,"T",1,"T",,,,,
7630,"97",2,"T","97",,,,
7640,"970",3,"T","97","970",,,
7650,"9700",4,"T","97","970","9700",,
7660,"98",2,"T","98",,,,
7670,"981",3,"T","98","981",,,
7680,"9810",4,"T","98","981","9810",,
7690,"982",3,"T","98","982",,,
7700,"9820",4,"T","98","982","9820",,
7710,"U",1,"U",,,,,
7720,"99",2,"U","99",,,,
7730,"990",3,"U","99","990",,,
7740,"9900",4,"U","99","990","9900",,
